trade_date,strategy_MAAlignmentRoom_variant_signal,actual_trade_label,next_return_pct,rsi14,ret_5d,ret_10d,range_position_10d,support_distance_10d,resistance_distance_10d,selected_regime,hindsight_regime,expected_regime_lag2
2025-08-01,PUT,CALL,0.6407,36.0018,-0.010937,-0.016142,-0.051339,-0.001354,0.027718,RANGE,RANGE,RANGE
2025-08-04,PUT,NO_POSITION,-0.2961,41.8224,0.001696,-0.014665,0.26392,0.007592,0.021175,RANGE,RANGE,RANGE
2025-08-05,PUT,NO_POSITION,-0.3057,39.9921,-0.006911,-0.016414,0.160996,0.004645,0.024207,RANGE,RANGE,RANGE
2025-08-06,PUT,NO_POSITION,0.0893,38.162,-0.0113,-0.025603,0.055048,0.001593,0.027348,RANGE,TREND_UP,RANGE
2025-08-11,PUT,NO_POSITION,-0.3972,41.923,-0.00557,-0.003884,0.399919,0.010069,0.015109,RANGE,CHOPPY,RANGE
2025-08-12,PUT,CALL,0.5388,39.5627,-0.006578,-0.013444,0.242165,0.006122,0.019157,RANGE,RANGE,TREND_UP
2025-08-13,PUT,NO_POSITION,0.0485,44.1344,0.001837,-0.009483,0.455331,0.011448,0.013695,RANGE,CHOPPY,CHOPPY
2025-08-14,PUT,CALL,0.9973,44.5431,0.001429,-0.005533,0.474637,0.011928,0.013203,RANGE,CHOPPY,RANGE
2025-09-04,PUT,NO_POSITION,0.0271,49.0913,0.009526,-0.012624,0.440083,0.013326,0.016954,RANGE,TREND_UP,TREND_UP
2025-09-05,PUT,NO_POSITION,0.1299,49.3031,0.012861,-0.013664,0.449029,0.013593,0.016679,RANGE,TREND_UP,TREND_UP
2025-09-11,CALL,NO_POSITION,0.4339,57.8099,0.010965,0.020595,0.952139,0.024027,0.001208,RANGE,RANGE,RANGE
2025-09-12,CALL,NO_POSITION,-0.1784,61.0126,0.015076,0.028131,1.121246,0.028243,-0.003054,RANGE,RANGE,RANGE
2025-09-16,CALL,NO_POSITION,0.3611,63.8397,0.014898,0.026831,1.161481,0.028398,-0.003948,RANGE,TREND_DOWN,RANGE
2025-09-19,CALL,NO_POSITION,-0.4924,63.7009,0.008483,0.023687,0.853075,0.027854,0.004797,RANGE,CHOPPY,RANGE
2025-09-22,CALL,NO_POSITION,-0.1303,58.1572,0.005311,0.017325,0.646772,0.017887,0.009769,RANGE,RANGE,TREND_DOWN
2025-09-23,CALL,NO_POSITION,-0.4474,56.8035,-0.002758,0.0121,0.56024,0.014124,0.011087,RANGE,RANGE,CHOPPY
2025-09-24,CALL,PUT,-0.6627,52.1638,-0.010791,0.003356,0.265886,0.005661,0.01563,RANGE,RANGE,RANGE
2025-10-13,CALL,NO_POSITION,-0.3244,58.489,0.005969,0.023227,0.860844,0.025355,0.004099,RANGE,TREND_UP,TREND_UP
2025-10-30,CALL,PUT,-0.6019,64.1116,-0.000523,0.021889,0.760438,0.027765,0.008747,RANGE,RANGE,CHOPPY
2025-10-31,CALL,NO_POSITION,0.1604,57.8412,-0.002832,0.005347,0.474668,0.013422,0.014855,RANGE,RANGE,RANGE
2025-11-13,CALL,NO_POSITION,0.1194,61.3698,0.014483,-0.006707,0.7194,0.021666,0.008451,RANGE,RANGE,CHOPPY
2025-11-14,CALL,NO_POSITION,0.3991,62.2285,0.016387,0.001244,0.829036,0.022833,0.004709,RANGE,RANGE,RANGE
2025-11-21,CALL,NO_POSITION,-0.4168,61.9343,0.006102,0.022589,0.807692,0.028759,0.006847,RANGE,RANGE,RANGE
2025-11-24,CALL,NO_POSITION,-0.2878,57.3825,-0.002074,0.01506,0.639892,0.019656,0.011061,RANGE,RANGE,RANGE
2025-11-26,CALL,NO_POSITION,0.0391,63.2238,0.005859,0.012734,0.918256,0.017725,0.001578,TREND_UP,RANGE,RANGE
2025-11-27,CALL,NO_POSITION,-0.0481,63.4594,0.000893,0.012999,0.938519,0.018109,0.001186,TREND_UP,RANGE,RANGE
2025-11-28,CALL,NO_POSITION,-0.1038,62.9037,0.005171,0.011304,0.811288,0.017637,0.004103,TREND_UP,RANGE,RANGE
2025-12-01,CALL,PUT,-0.5484,61.6623,0.00833,0.006239,0.711872,0.012714,0.005146,RANGE,RANGE,RANGE
2025-12-02,CALL,NO_POSITION,-0.1775,55.4117,0.005694,0.004714,0.391944,0.00727,0.011278,RANGE,RANGE,RANGE
2025-12-03,CALL,NO_POSITION,0.1838,53.5449,-0.008369,-0.002558,0.296262,0.005505,0.013076,RANGE,RANGE,RANGE
2025-12-18,PUT,CALL,0.5843,46.3523,-0.003205,-0.008381,0.24011,0.004737,0.014993,RANGE,RANGE,RANGE
2025-12-19,PUT,CALL,0.7933,52.0738,-0.003092,-0.008403,0.536272,0.010519,0.009096,RANGE,RANGE,RANGE
2026-01-05,CALL,NO_POSITION,-0.2728,58.7943,0.01188,0.010933,0.805844,0.014183,0.003417,RANGE,TREND_DOWN,RANGE
2026-01-06,CALL,NO_POSITION,-0.145,55.6215,0.009247,0.000241,0.607229,0.011486,0.00743,RANGE,TREND_DOWN,TREND_DOWN
2026-01-07,CALL,PUT,-1.0095,53.9526,0.000427,-0.001391,0.530594,0.010051,0.008892,RANGE,TREND_DOWN,TREND_DOWN
2026-01-08,CALL,PUT,-0.748,44.1007,-0.010315,-0.010146,-0.002322,-4.4e-05,0.019181,RANGE,TREND_DOWN,TREND_DOWN
2026-01-14,PUT,NO_POSITION,0.112,39.2483,-0.018177,-0.017758,0.213603,0.007489,0.02757,RANGE,RANGE,RANGE
2026-01-16,PUT,NO_POSITION,-0.4236,40.5207,-0.007053,-0.017295,0.245555,0.008599,0.02642,RANGE,TREND_DOWN,RANGE
2026-01-28,PUT,NO_POSITION,0.3005,40.4503,0.004369,-0.017352,0.431582,0.016689,0.021981,RANGE,RANGE,RANGE
2026-01-29,PUT,NO_POSITION,-0.3865,43.0693,0.010391,-0.012179,0.509286,0.019635,0.018919,RANGE,RANGE,RANGE
2026-02-16,CALL,NO_POSITION,0.1661,50.857,-0.007134,0.02369,0.603773,0.039067,0.025638,RANGE,TREND_DOWN,RANGE
2026-04-01,PUT,NO_POSITION,0.1486,37.0771,0.007407,-0.031159,0.250602,0.017441,0.052155,TREND_DOWN,TREND_UP,TREND_UP
2026-04-02,PUT,CALL,1.1234,37.5678,-0.008698,-0.036811,0.271953,0.018899,0.050594,TREND_DOWN,TREND_UP,TREND_UP
2026-04-06,PUT,CALL,0.6766,41.2628,-0.014511,-0.034046,0.467762,0.034208,0.038923,RANGE,TREND_UP,TREND_UP
2026-04-07,PUT,CALL,3.7784,43.454,0.013324,0.005282,0.73363,0.040699,0.014777,RANGE,TREND_UP,TREND_UP
2026-04-17,CALL,NO_POSITION,0.0464,57.1122,0.02433,0.073818,0.978633,0.089145,0.001946,RANGE,CHOPPY,CHOPPY
2026-04-21,CALL,PUT,-0.8077,59.6621,0.030783,0.070025,1.049517,0.082747,-0.003904,RANGE,CHOPPY,CHOPPY
2026-04-22,CALL,PUT,-0.8411,56.4341,0.006058,0.05425,0.881215,0.068045,0.009172,RANGE,RANGE,RANGE
2026-04-23,CALL,PUT,-1.138,53.2388,-0.000979,0.007322,0.59024,0.025543,0.017733,RANGE,RANGE,CHOPPY
2026-04-27,CALL,NO_POSITION,-0.4026,51.9725,-0.01117,0.00175,0.513431,0.022293,0.021127,RANGE,TREND_DOWN,RANGE
2026-05-06,CALL,NO_POSITION,-0.0177,55.4151,0.013971,-0.009995,0.663602,0.021951,0.011128,RANGE,TREND_DOWN,RANGE
2026-05-07,CALL,PUT,-0.6187,55.3348,0.006163,-0.002111,0.736754,0.021779,0.007782,RANGE,TREND_DOWN,RANGE
2026-05-08,CALL,PUT,-1.4903,52.3994,0.007442,0.000128,0.553521,0.015689,0.012655,RANGE,CHOPPY,TREND_DOWN
2026-05-11,CALL,PUT,-1.832,46.1069,-0.012581,-0.003435,0.027727,0.000798,0.027975,RANGE,CHOPPY,TREND_DOWN
2026-05-18,PUT,NO_POSITION,0.0833,45.1467,-0.007197,-0.019688,0.313148,0.016152,0.035427,RANGE,RANGE,RANGE
2026-05-20,PUT,NO_POSITION,-0.0399,45.5742,0.012173,-0.015339,0.329302,0.016971,0.034565,RANGE,CHOPPY,CHOPPY
2026-05-21,PUT,NO_POSITION,0.2731,45.393,0.010341,-0.027794,0.321553,0.016578,0.034978,RANGE,RANGE,RANGE
2026-05-22,PUT,CALL,1.3171,46.9757,0.001254,-0.024966,0.374523,0.019256,0.032159,RANGE,TREND_DOWN,CHOPPY
2026-06-03,PUT,NO_POSITION,0.1755,41.5126,-0.021609,-0.010468,0.194969,0.007172,0.029613,RANGE,TREND_UP,RANGE
