trade_date,next_trade_date,open_915,high_day,low_day,close_1515,volume_day,ma10,ma20,ma50,ma90,ma5d_slope,ma10d_slope,ma20_slope,ma50_slope,rsi14,atr14,bb_upper,bb_middle,bb_lower,bb_width,ret_5d,ret_10d,ret_20d,ret_60d,volatility_10d,volatility_20d,volume_10d,volume_20d,trend_efficiency_5d,trend_efficiency_10d,trend_efficiency_20d,recent_high_5d,recent_low_5d,recent_high_10d,recent_low_10d,recent_high_20d,recent_low_20d,range_position_5d,range_position_10d,selected_regime,hindsight_regime,expected_regime_lag2,strategy_BollingerMeanReversion_signal,strategy_MaTrend_001_signal,strategy_RsiMeanReversion_6040_signal,strategy_choppy_signal,strategy_trendDownRangeBreakout_signal,strategy_trendUpRangeBreakout_signal,final_raw_signal,next_open,next_high,next_low,next_close,next_return_pct,actual_trade_label
2025-06-19,2025-06-20,24803.25,24863.1,24733.4,24793.25,55670,24936.39,24850.5675,24412.967,23756.8494,-0.008913,0.002988,0.000104,0.006557,51.6541,252.1956,25162.9275,24850.5675,24538.2075,0.025139,-0.003815,0.001711,0.007458,0.069105,0.006427,0.005947,75375.5,82832.55,0.172401,0.035456,0.075996,25196.2,24473.0,25222.4,24473.0,25222.4,24462.4,0.442824,0.427342,RANGE,TREND_UP,,NO_POSITION,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,24787.65,25136.2,24783.65,25112.4,1.2872,CALL
2025-06-20,2025-06-23,24787.65,25136.2,24783.65,25112.4,105046,24947.325,24863.53,24471.983,23772.5839,-0.003506,0.003557,0.001232,0.007994,59.0833,259.3546,25196.1056,24863.53,24530.9544,0.026752,0.015931,0.004373,0.010431,0.075459,0.006928,0.006228,74891.2,83288.85,0.56233,0.086686,0.104077,24982.05,24473.0,25222.4,24473.0,25222.4,24473.0,1.256065,0.853216,RANGE,RANGE,,NO_POSITION,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,24939.75,25057.0,24824.85,24971.9,-0.5595,PUT
2025-06-23,2025-06-24,24939.75,25057.0,24824.85,24971.9,110836,24934.195,24862.0675,24520.704,23787.79,-0.002051,0.002103,0.001171,0.008521,55.0746,261.393,25192.4596,24862.0675,24531.6754,0.026578,0.001018,-0.00523,-0.00117,0.055522,0.007046,0.006235,81389.5,85063.75,0.041442,0.10086,0.011778,25136.2,24703.6,25222.4,24473.0,25222.4,24473.0,0.620203,0.665733,RANGE,RANGE,TREND_UP,NO_POSITION,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25179.9,25317.7,24999.7,25044.35,0.2901,NO_POSITION
2025-06-24,2025-06-25,25179.9,25317.7,24999.7,25044.35,141676,24928.205,24872.975,24573.608,23804.2833,0.001492,0.000612,0.001269,0.009434,56.7141,267.4102,25212.1964,24872.975,24533.7536,0.027276,0.007683,-0.002386,0.008787,0.058123,0.007128,0.006043,90843.5,84828.45,0.322415,0.043621,0.091623,25136.2,24733.4,25222.4,24473.0,25222.4,24473.0,0.771971,0.76241,RANGE,RANGE,RANGE,NO_POSITION,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25150.35,25266.8,25125.05,25244.75,0.8002,CALL
2025-06-25,2025-06-26,25150.35,25266.8,25125.05,25244.75,72287,24938.54,24897.59,24621.932,23824.985,0.007631,0.000256,0.002262,0.010123,60.9615,264.2029,25268.2457,24897.59,24526.9343,0.029774,0.017439,0.004111,0.019889,0.074846,0.007584,0.006212,91838.2,84512.25,0.575935,0.067265,0.196323,25317.7,24733.4,25317.7,24473.0,25317.7,24473.0,0.87515,0.913638,RANGE,RANGE,RANGE,NO_POSITION,CALL,PUT,NO_POSITION,NO_POSITION,NO_POSITION,PUT,25268.95,25565.3,25259.9,25549.0,1.2052,CALL
2025-06-26,2025-06-27,25268.95,25565.3,25259.9,25549.0,75945,25004.62,24933.36,24666.341,23852.5094,0.01449,0.002736,0.003332,0.010379,66.3164,268.2572,25398.4575,24933.36,24468.2625,0.037307,0.030482,0.026551,0.028808,0.082954,0.007403,0.006673,87490.0,84254.45,0.728961,0.416252,0.261984,25317.7,24733.4,25317.7,24473.0,25317.7,24473.0,1.395858,1.273825,RANGE,RANGE,RANGE,PUT,CALL,PUT,NO_POSITION,NO_POSITION,CALL,PUT,25576.65,25654.2,25523.55,25637.8,0.3476,NO_POSITION
2025-06-27,2025-06-30,25576.65,25654.2,25523.55,25637.8,61012,25096.54,24977.715,24710.353,23881.3156,0.015501,0.005981,0.004592,0.009741,67.7019,258.3931,25526.3683,24977.715,24429.0617,0.043931,0.020922,0.037187,0.035841,0.090073,0.006615,0.00659,84591.4,83828.05,0.651538,0.610075,0.324161,25565.3,24783.65,25565.3,24473.0,25565.3,24473.0,1.092753,1.066374,RANGE,RANGE,RANGE,PUT,CALL,PUT,NO_POSITION,NO_POSITION,CALL,PUT,25661.65,25669.35,25473.3,25517.05,-0.471,NO_POSITION
2025-06-30,2025-07-01,25661.65,25669.35,25473.3,25517.05,95102,25153.595,25017.7375,24743.661,23908.9339,0.019672,0.008799,0.006261,0.009093,63.8488,253.9837,25600.1064,25017.7375,24435.3686,0.046556,0.021831,0.022871,0.032385,0.101501,0.006783,0.006715,85203.6,83929.0,0.693002,0.407667,0.283521,25654.2,24824.85,25654.2,24703.6,25654.2,24473.0,0.83463,0.855723,RANGE,RANGE,RANGE,NO_POSITION,CALL,PUT,NO_POSITION,NO_POSITION,NO_POSITION,PUT,25551.35,25593.4,25501.8,25541.8,0.097,NO_POSITION
2025-07-01,2025-07-02,25551.35,25593.4,25501.8,25541.8,45334,25222.435,25067.7025,24771.986,23937.9622,0.022099,0.011803,0.007829,0.008073,64.296,242.3323,25649.8757,25067.7025,24485.5293,0.046448,0.019863,0.027698,0.040717,0.094695,0.006475,0.006403,83639.7,80920.2,0.673185,0.517127,0.373724,25669.35,24999.7,25669.35,24733.4,25669.35,24473.0,0.809527,0.863721,RANGE,RANGE,RANGE,NO_POSITION,CALL,PUT,NO_POSITION,NO_POSITION,NO_POSITION,PUT,25588.3,25608.1,25378.75,25453.4,-0.3461,NO_POSITION
2025-07-02,2025-07-03,25588.3,25608.1,25378.75,25453.4,76242,25286.57,25109.3625,24797.709,23965.6722,0.020232,0.013956,0.008506,0.007139,61.3371,241.4185,25676.5346,25109.3625,24542.1904,0.045176,0.008265,0.025848,0.033842,0.094765,0.006635,0.006511,83915.0,82184.3,0.332802,0.465336,0.310363,25669.35,25125.05,25669.35,24733.4,25669.35,24473.0,0.603252,0.769272,RANGE,RANGE,RANGE,NO_POSITION,CALL,PUT,NO_POSITION,NO_POSITION,NO_POSITION,PUT,25505.1,25587.5,25384.35,25405.3,-0.189,NO_POSITION
