date,underlying,open,high,low,close,volume,ma10,ma20,ma50,ma90,rsi14,atr14,bb_upper,bb_middle,bb_lower,bb_width,ret_5d,ret_10d,ret_20d,ret_60d,volatility_10d,volatility_20d,volume_10d,volume_20d,trend_efficiency_5d,trend_efficiency_10d,trend_efficiency_20d,trend_efficiency_60d,relative_strength_vs_sector,ma5d_slope,ma10d_slope,ma20_slope,ma50_slope,recent_high_5d,recent_low_5d,recent_high_10d,recent_low_10d,recent_high_20d,recent_low_20d,range_position_5d,range_position_10d,range_position_20d,hindsight_regime,hindsight_regime_lookahead_days,hindsight_regime_forward_return,hindsight_regime_forward_efficiency,hindsight_regime_realized_range,current_regime,current_trend_ret60_015_regime,current_trend_ret60_010_regime,current_trend_eff60_020_regime,current_trend_ma50_flat_ok_regime,current_trend_ma20_slope_only_regime,current_trend_stack_ma10_ma20_regime,current_trend_ret20_eff20_regime,current_trend_ret10_eff10_regime,current_trend_range10_ret5_eff5_regime,current_trend_range20_ret5_ma5_regime,current_trend_ret5_eff5_ma5_regime,current_trend_ret10_range_eff10_regime,hindsight_regime_minus_1d,hindsight_regime_minus_2d,lagged_hindsight_trend_2d,current_exact_match,current_buffer_match,current_lag2_trend_match,current_trend_ret60_015_exact_match,current_trend_ret60_015_buffer_match,current_trend_ret60_015_lag2_trend_match,current_trend_ret60_010_exact_match,current_trend_ret60_010_buffer_match,current_trend_ret60_010_lag2_trend_match,current_trend_eff60_020_exact_match,current_trend_eff60_020_buffer_match,current_trend_eff60_020_lag2_trend_match,current_trend_ma50_flat_ok_exact_match,current_trend_ma50_flat_ok_buffer_match,current_trend_ma50_flat_ok_lag2_trend_match,current_trend_ma20_slope_only_exact_match,current_trend_ma20_slope_only_buffer_match,current_trend_ma20_slope_only_lag2_trend_match,current_trend_stack_ma10_ma20_exact_match,current_trend_stack_ma10_ma20_buffer_match,current_trend_stack_ma10_ma20_lag2_trend_match,current_trend_ret20_eff20_exact_match,current_trend_ret20_eff20_buffer_match,current_trend_ret20_eff20_lag2_trend_match,current_trend_ret10_eff10_exact_match,current_trend_ret10_eff10_buffer_match,current_trend_ret10_eff10_lag2_trend_match,current_trend_range10_ret5_eff5_exact_match,current_trend_range10_ret5_eff5_buffer_match,current_trend_range10_ret5_eff5_lag2_trend_match,current_trend_range20_ret5_ma5_exact_match,current_trend_range20_ret5_ma5_buffer_match,current_trend_range20_ret5_ma5_lag2_trend_match,current_trend_ret5_eff5_ma5_exact_match,current_trend_ret5_eff5_ma5_buffer_match,current_trend_ret5_eff5_ma5_lag2_trend_match,current_trend_ret10_range_eff10_exact_match,current_trend_ret10_range_eff10_buffer_match,current_trend_ret10_range_eff10_lag2_trend_match
2025-01-01,NIFTY,23637.65,23822.8,23562.8,23742.9,175729.0,23781.535,24193.055,24152.85,,38.8686,276.471,25066.5495,24193.055,23319.5605,0.07221,0.000643,-0.024371,-0.029204,-0.050838,0.006941,0.006684,222906.1,236139.3,0.043269,0.458807,0.295261,0.143731,,-0.005225,-0.018031,-0.005053,-0.005078,23938.85,23460.45,24624.1,23460.45,24857.75,23460.45,0.590406,0.242728,0.20214,RANGE,10,-0.02231,0.284877,0.049676,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,RANGE,RANGE,RANGE,TREND_DOWN,,,,True,True,,True,True,,True,True,,True,True,,True,True,,True,True,,True,True,,True,True,,False,False,,True,True,,True,True,,True,True,,False,False,
2025-01-02,NIFTY,23783.0,24226.7,23751.55,24188.65,339021.0,23780.515,24179.115,24141.001,,51.0269,291.2802,25043.4996,24179.115,23314.7304,0.071498,0.018461,-0.000422,-0.011395,-0.024484,0.00951,0.008071,234559.8,241219.6,0.565268,0.00637,0.09767,0.0669,,0.002224,-0.014445,-0.004552,-0.004437,23938.85,23460.45,24394.45,23460.45,24857.75,23460.45,1.522157,0.779657,0.521148,TREND_DOWN,10,-0.03625,0.579831,0.04876,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_UP,RANGE,TREND_UP,RANGE,RANGE,,TREND_DOWN,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-01-03,NIFTY,24196.4,24196.45,23976.0,24004.75,262004.0,23785.82,24143.9325,24131.654,,46.884,286.2209,24975.9551,24143.9325,23311.9099,0.068922,0.008035,0.002215,-0.028478,-0.040315,0.00923,0.007829,241453.9,229383.8,0.213477,0.034492,0.251533,0.111534,,0.005005,-0.011212,-0.005794,-0.0038,24226.7,23460.45,24226.7,23460.45,24857.75,23460.45,0.710343,0.710343,0.389537,TREND_DOWN,10,-0.033391,0.557813,0.047874,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,RANGE,TREND_DOWN,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
2025-01-06,NIFTY,24045.8,24089.95,23551.9,23616.05,381394.0,23788.675,24090.845,24115.265,,39.5709,304.2087,24915.2948,24090.845,23266.3952,0.068445,-0.00122,0.00121,-0.043024,-0.054675,0.009417,0.008497,248642.9,239677.95,0.025839,0.018271,0.336471,0.145329,,0.004276,-0.006453,-0.006986,-0.003385,24226.7,23460.45,24226.7,23460.45,24792.3,23460.45,0.203067,0.203067,0.11683,RANGE,10,-0.011488,0.228022,0.044152,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
2025-01-07,NIFTY,23679.9,23795.2,23637.8,23707.9,170033.0,23784.12,24045.29,24101.435,,41.878,295.2759,24848.3817,24045.29,23242.1983,0.066798,0.002669,-0.001918,-0.037008,-0.051625,0.009212,0.008603,242503.9,240999.4,0.052222,0.030602,0.285737,0.136219,,0.005729,-0.002379,-0.007573,-0.003046,24226.7,23460.45,24226.7,23460.45,24792.3,23460.45,0.322936,0.322936,0.185794,TREND_DOWN,10,-0.02882,0.481824,0.034518,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,TREND_DOWN,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
2025-01-08,NIFTY,23746.65,23751.85,23496.15,23688.95,237903.0,23780.25,23999.235,24091.598,,41.5257,292.4491,24772.5893,23999.235,23225.8807,0.064448,-0.002272,-0.001631,-0.037428,-0.051085,0.00921,0.0086,241538.8,244838.55,0.047779,0.02612,0.28797,0.134827,,0.005144,-5.4e-05,-0.008011,-0.002536,24226.7,23551.9,24226.7,23460.45,24792.3,23460.45,0.203097,0.298206,0.171566,RANGE,10,-0.022525,0.348804,0.032716,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,RANGE,TREND_DOWN,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
2025-01-09,NIFTY,23674.75,23689.5,23503.05,23526.5,182951.0,23757.88,23943.47,24075.345,,38.5334,284.8777,24683.5752,23943.47,23203.3648,0.061821,-0.027374,-0.009419,-0.04526,-0.063732,0.009436,0.008635,238241.3,246141.3,0.782822,0.137959,0.334995,0.16933,,-0.004121,-0.000952,-0.009746,-0.00272,24226.7,23496.15,24226.7,23460.45,24792.3,23460.45,0.041544,0.086199,0.049593,RANGE,10,-0.013651,0.226585,0.030291,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,RANGE,RANGE,TREND_DOWN,TREND_DOWN,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,False
2025-01-10,NIFTY,23551.9,23596.6,23344.35,23431.5,261703.0,23719.69,23887.61,24054.638,,36.8607,282.5472,24604.8522,23887.61,23170.3678,0.060051,-0.023881,-0.016037,-0.04551,-0.064885,0.009393,0.008638,244682.0,252143.2,0.757316,0.230993,0.335375,0.171468,,-0.010527,-0.00278,-0.010616,-0.003191,24196.45,23496.15,24226.7,23460.45,24792.3,23460.45,-0.092318,-0.037781,-0.021737,RANGE,10,-0.014481,0.236364,0.026449,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,RANGE,RANGE,RANGE,,True,True,,True,True,,True,True,,True,True,,True,True,,True,True,,True,True,,False,False,,True,True,,False,False,,False,False,,False,False,,True,True,
2025-01-13,NIFTY,23195.4,23340.95,23047.25,23085.95,278782.0,23663.795,23803.4925,24029.54,,31.5036,289.8116,24481.3878,23803.4925,23125.5972,0.056958,-0.022447,-0.023639,-0.067924,-0.075501,0.010173,0.00864,249561.8,242243.4,0.742645,0.305379,0.486629,0.193539,,-0.014735,-0.00525,-0.011928,-0.003555,24089.95,23344.35,24226.7,23344.35,24792.3,23344.35,-0.346567,-0.292854,-0.178459,RANGE,10,-0.011124,0.1898,0.027696,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,RANGE,RANGE,,True,True,,True,True,,True,True,,True,True,,True,True,,True,True,,True,True,,False,False,,True,True,,False,False,,False,False,,False,False,,False,False,
2025-01-14,NIFTY,23165.9,23264.95,23134.15,23176.05,194699.0,23616.92,23728.8825,24008.954,,34.1893,281.8965,24334.2346,23728.8825,23123.5304,0.051022,-0.022433,-0.019825,-0.060491,-0.063588,0.010346,0.008794,248421.9,242764.85,0.746928,0.244096,0.432873,0.163765,,-0.019716,-0.00703,-0.013159,-0.003837,23795.2,23047.25,24226.7,23047.25,24781.25,23047.25,0.172204,0.109203,0.074279,RANGE,10,-0.009441,0.157297,0.027589,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,RANGE,RANGE,RANGE,,True,True,,True,True,,True,True,,True,True,,True,True,,True,True,,True,True,,False,False,,True,True,,False,False,,False,False,,False,False,,True,True,
