experiment,buffer_days,comparable_rows,overall_buffered_correct,overall_buffered_accuracy_pct,lag2_trend_rows,trend_signal_rows,lag2_trend_match_count,lag2_trend_recall_pct,trend_signal_lag2_precision_pct,trend_up_buffered_recall_pct,trend_down_buffered_recall_pct,range_buffered_recall_pct,choppy_buffered_recall_pct
current_trend_range10_ret5_eff5,2,354,186,52.54,166,171,44,26.51,25.73,24.19,44.0,63.37,52.5
current_trend_range20_ret5_ma5,2,354,146,41.24,166,208,41,24.7,19.71,16.13,44.0,48.51,40.0
current_trend_ret5_eff5_ma5,2,354,195,55.08,166,145,34,20.48,23.45,20.97,42.0,69.8,50.0
current_trend_ret10_range_eff10,2,354,186,52.54,166,150,31,18.67,20.67,25.81,42.0,64.85,45.0
current_trend_ret10_eff10,2,354,211,59.6,166,95,19,11.45,20.0,29.03,42.0,75.74,47.5
current_trend_ret20_eff20,2,354,222,62.71,166,73,9,5.42,12.33,22.58,48.0,79.21,60.0
current_trend_eff60_020,2,354,230,64.97,166,60,4,2.41,6.67,29.03,44.0,83.66,52.5
current_trend_stack_ma10_ma20,2,354,257,72.6,166,18,0,0.0,0.0,27.42,44.0,94.55,67.5
current,2,354,256,72.32,166,21,0,0.0,0.0,27.42,44.0,94.06,67.5
current_trend_ret60_015,2,354,256,72.32,166,21,0,0.0,0.0,27.42,44.0,94.06,67.5
current_trend_ret60_010,2,354,256,72.32,166,21,0,0.0,0.0,27.42,44.0,94.06,67.5
current_trend_ma50_flat_ok,2,354,256,72.32,166,21,0,0.0,0.0,27.42,44.0,94.06,67.5
current_trend_ma20_slope_only,2,354,256,72.32,166,21,0,0.0,0.0,27.42,44.0,94.06,67.5
