tradingsymbol,exchange,name,instrument_token,segment,tick_size,lot_size,instrument_type,sector,industry,is_fo_enabled,is_active
AARTIIND,NSE,AARTI INDUSTRIES,1793,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
ABB,NSE,ABB INDIA,3329,NSE,0.5,1,STOCK,Capital Goods,Capital Goods,1,1
ACC,NSE,ACC,5633,NSE,0.1,1,STOCK,Construction Materials,Construction Materials,0,1
ADANIENT,NSE,ADANI ENTERPRISES,6401,NSE,0.1,1,STOCK,Metals & Mining,Metals & Mining,1,1
AEGISLOG,NSE,AEGIS LOGISTICS,10241,NSE,0.05,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,0,1
ARE&M,NSE,AMARA RAJA ENERGY MOB,25601,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
APOLLOHOSP,NSE,APOLLO HOSPITALS ENTER. L,40193,NSE,0.5,1,STOCK,Healthcare,Healthcare,1,1
APOLLOTYRE,NSE,APOLLO TYRES,41729,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
ASHOKLEY,NSE,ASHOK LEYLAND,54273,NSE,0.01,1,STOCK,Capital Goods,Capital Goods,1,1
IEX,NSE,INDIAN ENERGY EXC,56321,NSE,0.01,1,STOCK,Financial Services,Financial Services,1,1
ASIANPAINT,NSE,ASIAN PAINTS,60417,NSE,0.1,1,STOCK,Consumer Durables,Consumer Durables,1,1
ATUL,NSE,ATUL,67329,NSE,0.5,1,STOCK,Chemicals,Chemicals,0,1
AUROPHARMA,NSE,AUROBINDO PHARMA,70401,NSE,0.1,1,STOCK,Healthcare,Healthcare,1,1
GICRE,NSE,GENERAL INS CORP OF INDIA,70913,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
BAJAJHLDNG,NSE,BAJAJ HOLDINGS & INVS,78081,NSE,1.0,1,STOCK,Financial Services,Financial Services,1,1
TIINDIA,NSE,TUBE INVEST OF INDIA,79873,NSE,0.1,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
BAJFINANCE,NSE,BAJAJ FINANCE,81153,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
ANGELONE,NSE,ANGEL ONE,82945,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
BALKRISIND,NSE,BALKRISHNA IND.,85761,NSE,0.1,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
BALRAMCHIN,NSE,BALRAMPUR CHINI MILLS,87297,NSE,0.05,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0,1
CAMS,NSE,COMPUTER AGE MNGT SER,87553,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
BATAINDIA,NSE,BATA INDIA,94977,NSE,0.05,1,STOCK,Consumer Durables,Consumer Durables,0,1
BBTC,NSE,BOMBAY BURMAH TRADING COR,97281,NSE,0.1,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0,1
BEL,NSE,BHARAT ELECTRONICS,98049,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,1,1
BEML,NSE,BEML,101121,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
NIACL,NSE,THE NEW INDIA ASSU CO,102145,NSE,0.01,1,STOCK,Financial Services,Financial Services,0,1
BERGEPAINT,NSE,BERGER PAINTS (I),103425,NSE,0.05,1,STOCK,Consumer Durables,Consumer Durables,0,1
BHARATFORG,NSE,BHARAT FORGE,108033,NSE,0.1,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
BHEL,NSE,BHEL,112129,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,1,1
HDFCLIFE,NSE,HDFC LIFE INS CO,119553,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
3MINDIA,NSE,3M INDIA,121345,NSE,5.0,1,STOCK,Diversified,Diversified,0,1
BLUEDART,NSE,BLUE DART EXPRESS,126721,NSE,0.5,1,STOCK,Services,Services,0,1
MAZDOCK,NSE,MAZAGON DOCK SHIPBUIL,130305,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,1,1
BPCL,NSE,BHARAT PETROLEUM CORP  LT,134657,NSE,0.05,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,1,1
UTIAMC,NSE,UTI ASSET MNGMT CO,134913,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
BRITANNIA,NSE,BRITANNIA INDUSTRIES,140033,NSE,0.5,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
CANFINHOME,NSE,CAN FIN HOMES,149249,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
GRAPHITE,NSE,GRAPHITE INDIA,151553,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,0,1
CARBORUNIV,NSE,CARBORUNDUM UNIVERSAL,152321,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,0,1
ABREL,NSE,ADITYA BIRLA REAL EST,160001,NSE,0.1,1,STOCK,Realty,Realty,0,1
CESC,NSE,CESC,160769,NSE,0.01,1,STOCK,Power,Power,0,1
CHAMBLFERT,NSE,CHAMBAL FERTILIZERS,163073,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
