tradingsymbol,exchange,name,instrument_token,segment,tick_size,lot_size,instrument_type,sector,industry,is_fo_enabled,is_active
21STCENMGM,NSE,21ST CENTURY MGMT SERVICE,1025,NSE,0.01,1,STOCK,Financial Services,Capital Markets,0,1
GATECHDVR,NSE,GACM TECHNOLOGIES,4353,NSE,0.01,1,STOCK,Financial Services,Asset Management,0,1
STYRENIX,NSE,STYRENIX PERFORMANCE,4865,NSE,0.1,1,STOCK,Basic Materials,Chemicals,0,1
ADOR,NSE,ADOR WELDING,8705,NSE,0.1,1,STOCK,Industrials,Specialty Industrial Machinery,0,1
HAPPSTMNDS,NSE,HAPPIEST MINDS TECHNO,12289,NSE,0.05,1,STOCK,Technology,Information Technology Services,0,1
ALEMBICLTD,NSE,ALEMBIC,20225,NSE,0.01,1,STOCK,Real Estate,Real Estate - Development,0,1
SHAREINDIA,NSE,SHARE IND. SECURITIES,26625,NSE,0.01,1,STOCK,Financial Services,Capital Markets,0,1
ROUTE,NSE,ROUTE MOBILE,32769,NSE,0.05,1,STOCK,Communication Services,Telecom Services,0,1
ANDHRSUGAR,NSE,ANDHRA SUGARS,34817,NSE,0.01,1,STOCK,Basic Materials,Chemicals,0,1
GODREJAGRO,NSE,GODREJ AGROVET,36865,NSE,0.05,1,STOCK,Consumer Defensive,Packaged Foods,0,1
APCOTEXIND,NSE,APCOTEX INDUSTRIES LIMITE,39425,NSE,0.05,1,STOCK,Basic Materials,Specialty Chemicals,0,1
ANDHRAPAP,NSE,ANDHRA PAPER,42497,NSE,0.01,1,STOCK,Basic Materials,Paper & Paper Products,0,1
ARENTERP,NSE,RAJDARSHAN INDUSTRIES,46337,NSE,0.01,1,STOCK,Basic Materials,Other Industrial Metals & Mining,0,1
TCPLPACK,NSE,TCPL PACKAGING,47105,NSE,0.1,1,STOCK,Consumer Cyclical,Packaging & Containers,0,1
ARVIND,NSE,ARVIND,49409,NSE,0.05,1,STOCK,Consumer Cyclical,Textile Manufacturing,0,1
MASFIN,NSE,MAS FINANCIAL SERV,50945,NSE,0.05,1,STOCK,Financial Services,Credit Services,0,1
UNIDT,NSE,UNITED DRILLING TOOLS,51457,NSE,0.01,1,STOCK,Energy,Oil & Gas Equipment & Services,0,1
ASHAPURMIN,NSE,ASHAPURA MINECHEM,51969,NSE,0.05,1,STOCK,Basic Materials,Other Industrial Metals & Mining,0,1
ASHIMASYN,NSE,ASHIMA,52737,NSE,0.01,1,STOCK,Real Estate,Real Estate - Development,0,1
ADL,NSE,ARCHIDPLY DECOR,62721,NSE,0.01,1,STOCK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0,1
